,0
2530,7
2531,7
2532,3
2533,3
2534,1
2535,5
2536,1
2537,7
2538,7
2539,7
2540,1
2541,5
2542,1
2543,1
2544,7
2545,7
2546,1
2547,1
2548,1
2549,1
2550,7
2551,1
2552,7
2553,5
2554,3
2555,7
2556,1
2557,7
2558,1
2559,7
2560,3
2561,5
2562,5
2563,7
2564,1
2565,5
2566,7
2567,1
2568,7
2569,1
2570,1
2571,7
2572,1
2573,7
2574,1
2575,5
2576,5
2577,1
2578,7
2579,1
2580,1
2581,1
2582,7
2583,5
2584,7
2585,5
2586,3
2587,5
2588,5
2589,7
2590,3
2591,7
2592,1
2593,3
2594,1
2595,3
2596,7
2597,7
2598,1
2599,5
2600,7
2601,1
2602,1
2603,7
2604,1
2605,7
2606,7
2607,1
2608,7
2609,3
2610,1
2611,7
2612,1
2613,3
2614,3
2615,3
2616,1
2617,5
2618,3
2619,5
2620,3
2621,5
2622,7
2623,7
2624,7
2625,7
2626,1
2627,1
2628,5
2629,7
2630,10
2631,1
2632,3
2633,7
2634,1
2635,3
2636,3
2637,1
2638,9
2639,12
2640,6
2641,6
2642,3
2643,6
2644,3
2645,6
2646,6
2647,6
2648,6
2649,13
2650,13
2651,13
2652,13
2653,10
2654,10
2655,13
2656,10
2657,3
2658,10
2659,13
2660,10
2661,10
2662,10
2663,10
2664,13
2665,10
2666,10
2667,9
2668,9
2669,10
2670,3
2671,10
2672,0
2673,10
2674,10
2675,10
2676,3
2677,3
2678,3
2679,10
2680,6
2681,3
2682,12
2683,12
2684,10
2685,9
2686,10
2687,10
2688,3
2689,3
2690,3
2691,10
2692,13
2693,10
2694,10
2695,10
2696,3
2697,1
2698,13
2699,10
2700,3
2701,3
2702,10
2703,13
2704,10
2705,3
2706,10
2707,3
2708,10
2709,3
2710,13
2711,12
2712,10
2713,6
2714,13
2715,13
2716,10
2717,10
2718,8
2719,3
2720,13
2721,10
2722,10
2723,13
2724,3
2725,13
2726,13
2727,10
2728,13
2729,6
2730,13
2731,13
2732,13
2733,10
2734,10
2735,10
2736,10
2737,9
2738,10
2739,3
2740,10
2741,9
2742,10
2743,9
2744,9
2745,0
2746,3
2747,3
2748,10
2749,9
2750,12
2751,3
2752,12
2753,10
2754,3
2755,3
2756,3
2757,3
2758,10
2759,12
2760,6
2761,3
2762,3
2763,10
2764,13
2765,3
2766,0
2767,3
2768,3
2769,10
2770,10
2771,13
2772,12
2773,10
2774,12
2775,5
2776,10
2777,10
2778,9
2779,13
2780,10
2781,13
2782,3
2783,10
2784,13
2785,3
2786,10
2787,10
2788,13
2789,3
2790,5
2791,6
2792,13
2793,10
2794,3
2795,10
2796,10
2797,10
2798,10
2799,13
2800,10
2801,13
2802,10
2803,10
2804,10
2805,10
2806,10
2807,13
2808,6
2809,10
2810,10
2811,12
2812,13
2813,3
2814,13
2815,10
2816,13
2817,13
2818,6
2819,0
2820,10
2821,13
2822,10
2823,10
2824,10
2825,3
2826,3
2827,3
2828,3
2829,3
2830,3
2831,3
2832,3
2833,3
2834,9
2835,3
2836,12
2837,12
2838,10
2839,12
2840,3
2841,3
2842,3
2843,3
2844,3
2845,9
2846,3
2847,10
2848,3
2849,3
2850,10
2851,10
2852,10
2853,12
2854,3
2855,10
2856,10
2857,12
2858,10
2859,3
2860,3
2861,10
2862,10
2863,3
2864,10
2865,13
2866,13
2867,3
2868,10
2869,6
2870,12
2871,13
2872,10
2873,10
2874,10
2875,3
2876,3
2877,10
2878,13
2879,10
2880,13
2881,13
2882,12
2883,3
2884,10
2885,13
2886,10
2887,10
2888,10
2889,10
2890,3
2891,3
2892,10
2893,10
2894,3
2895,3
2896,9
2897,9
2898,9
2899,9
2900,9
2901,9
2902,9
2903,3
2904,10
2905,10
2906,3
2907,3
2908,3
2909,12
2910,3
2911,10
2912,10
2913,13
2914,12
2915,10
2916,10
2917,10
2918,10
2919,10
2920,13
2921,13
2922,13
2923,13
2924,12
2925,13
2926,3
2927,13
2928,10
2929,13
2930,10
2931,13
2932,3
2933,12
2934,13
2935,12
2936,13
2937,13
